1363157993055	13560436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	1116	9534	200
1363157993056	13660436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	11617	3956	200
1363157993057	13760436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	15116	9154	200
1363157993058	13860436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	1317	9536	200
1363157993059	13960436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	1136	1914	200
1363157993060	13560436667	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	1171	1926	200
1363157993061	13560436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	1216	9154	200
1363157993062	13660436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	18117	9516	200
1363157993062	13960436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	18117	9516	200
1373157993062	13960436666	C4-17-FE-BA-DE-D9:CMCC	120.196.100.99	18	15	18117	9516	200
